,total_bill,tip,smoker,day,time,size,tip%
217,11.59,1.5,Yes,Sat,Dinner,2,12.9
218,7.74,1.44,Yes,Sat,Dinner,2,18.6
219,30.14,3.09,Yes,Sat,Dinner,4,10.3
220,12.16,2.2,Yes,Fri,Lunch,2,18.1
221,13.42,3.48,Yes,Fri,Lunch,2,25.9
222,8.58,1.92,Yes,Fri,Lunch,1,22.4
223,15.98,3.0,No,Fri,Lunch,3,18.8
224,13.42,1.58,Yes,Fri,Lunch,2,11.8
225,16.27,2.5,Yes,Fri,Lunch,2,15.4
226,10.09,2.0,Yes,Fri,Lunch,2,19.8
227,20.45,3.0,No,Sat,Dinner,4,14.7
228,13.28,2.72,No,Sat,Dinner,2,20.5
229,22.12,2.88,Yes,Sat,Dinner,2,13.0
230,24.01,2.0,Yes,Sat,Dinner,4,8.3
231,15.69,3.0,Yes,Sat,Dinner,3,19.1
232,11.61,3.39,No,Sat,Dinner,2,29.2
233,10.77,1.47,No,Sat,Dinner,2,13.6
234,15.53,3.0,Yes,Sat,Dinner,2,19.3
235,10.07,1.25,No,Sat,Dinner,2,12.4
236,12.6,1.0,Yes,Sat,Dinner,2,7.9
237,32.83,1.17,Yes,Sat,Dinner,2,3.6
238,35.83,4.67,No,Sat,Dinner,3,13.0
239,29.03,5.92,No,Sat,Dinner,3,20.4
240,27.18,2.0,Yes,Sat,Dinner,2,7.4
241,22.67,2.0,Yes,Sat,Dinner,2,8.8
242,17.82,1.75,No,Sat,Dinner,2,9.8
243,18.78,3.0,No,Thur,Dinner,2,16.0
