"107年11月30日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"臺灣中型100報酬指數","12,066.45","+","83.77","0.70",
"臺灣資訊科技報酬指數","16,209.04","-","127.47","-0.78",
"臺灣發達報酬指數","12,563.20","+","57.74","0.46",
"臺灣高股息報酬指數","12,008.97","+","78.05","0.65",
"臺灣永續報酬指數","5,211.13","-","11.41","-0.22",
"臺灣就業99報酬指數","8,004.36","+","14.71","0.18",
"臺灣高薪100報酬指數","6,628.76","+","3.71","0.06",
"臺灣低波動高股息報酬指數","3,671.29","+","14.90","0.41",
"未含金融電子股報酬指數","21,398.61","+","71.04","0.33",
"小型股300報酬指數","6,603.57","+","17.15","0.26",
"漲升股利150報酬指數","6,372.44","+","14.91","0.23",
"漲升股利100報酬指數","6,379.24","+","21.47","0.34",
"藍籌 30 報酬指數","5,657.47","+","11.33","0.20",
"工業菁英 30 報酬指數","5,938.78","+","22.78","0.39",
"電子菁英 30 報酬指數","5,589.74","+","7.60","0.14",
"低波動精選 30 報酬指數","6,219.84","+","18.80","0.30",
"低貝塔 100 報酬指數","5,709.76","+","8.04","0.14",
"中小型精選50報酬指數","5,643.43","-","8.52","-0.15",
"中小型A級動能50報酬指數","5,692.68","+","44.93","0.80",
"特選高息低波報酬指數","5,231.53","+","3.59","0.07",
"臺灣生技報酬指數","4,916.26","+","30.06","0.62",
"特選內需高收益報酬指數","5,446.71","+","16.61","0.31",
"臺灣中小型公司治理報酬指數","5,204.31","+","27.96","0.54",
"臺灣IPO報酬指數","4,778.62","+","26.29","0.55",
"價值投資報酬指數","5,304.03","+","24.28","0.46",
"水泥類報酬指數","198.43","+","3.34","1.71",
"食品類報酬指數","2,210.82","+","0.59","0.03",
"塑膠類報酬指數","413.57","+","3.11","0.76",
"紡織纖維類報酬指數","731.08","+","4.69","0.65",
"電機機械類報酬指數","233.47","+","1.49","0.64",
"電器電纜類報酬指數","63.41","+","1.49","2.41",
"化學生技醫療類報酬指數","127.63","+","0.03","0.02",
"化學類報酬指數","148.25","-","0.35","-0.24",
"生技醫療類報酬指數","72.15","+","0.29","0.40",
"玻璃陶瓷類報酬指數","41.19","+","0.13","0.32",
"造紙類報酬指數","264.53","+","4.83","1.86",
"鋼鐵類報酬指數","149.22","+","0.11","0.07",
"橡膠類報酬指數","353.60","+","2.96","0.84",
"汽車類報酬指數","269.05","+","2.53","0.95",
"電子類報酬指數","641.68","-","1.28","-0.20",
"半導體類報酬指數","237.14","-","1.95","-0.82",
"電腦及週邊設備類報酬指數","148.28","+","1.76","1.20",
"光電類報酬指數","44.96","-","0.48","-1.06",
"通信網路類報酬指數","217.18","+","0.25","0.12",
"電子零組件類報酬指數","142.36","+","1.89","1.35",
"電子通路類報酬指數","202.51","+","0.82","0.41",
"資訊服務類報酬指數","168.64","+","1.52","0.91",
"其他電子類報酬指數","98.42","+","1.66","1.72",
"建材營造類報酬指數","429.77","-","1.20","-0.28",
"航運類報酬指數","84.23","-","0.61","-0.72",
"觀光類報酬指數","134.90","+","0.89","0.66",
"金融保險類報酬指數","1,786.28","+","1.53","0.09",
"貿易百貨類報酬指數","346.54","-","3.78","-1.08",
"油電燃氣類報酬指數","197.10","+","0.76","0.39",
"其他類報酬指數","352.25","-","0.43","-0.12",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","163,077,116,034","3,897,716,239","1,062,531",
"2.台灣存託憑證","12,475,821","2,486,591","484",
"3.受益憑證","0","0","0",
"4.ETF","5,680,448,062","368,500,119","45,761",
"5.受益證券","1,157,470","82,000","46",
"6.變更交易股票","7,807,407","3,009,413","521",
"7.認購(售)權證","2,551,285,920","2,335,254,000","85,474",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","163,084,923,441","3,900,725,652","1,063,052",
"總計(1~12)","171,330,290,714","6,607,048,362","1,194,817",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","3,843(10)","479(8)",
"下跌(跌停)","3,938(59)","332(0)",
"持平","655","99",
"未成交","8,182","2",
"無比價","1,075","6",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

"107年11月30日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","4,210,211","1,670","324,711,501","77.20","77.35","76.75","76.75","-","0.30","76.70","21","76.75","450","0.00",
="0051","元大中型100","13,000","9","383,460","29.25","29.65","29.25","29.60","+","0.04","29.60","1","29.67","1","0.00",
="0052","富邦科技","100,000","6","4,975,370","49.69","49.76","49.68","49.76","+","0.10","48.00","12","49.75","1","0.00",
="0053","元大電子","2,000","2","62,960","31.47","31.49","31.47","31.49","-","0.02","31.22","20","31.44","20","0.00",
="0054","元大台商50","11,000","6","222,250","20.20","20.23","20.17","20.23","+","0.15","19.70","1","20.60","1","0.00",
="0055","元大MSCI金融","30,000","21","509,710","17.01","17.05","16.97","16.99","-","0.02","16.98","14","16.99","88","0.00",
="0056","元大高股息","3,679,269","1,607","90,047,507","24.40","24.53","24.40","24.46","+","0.08","24.46","13","24.47","100","0.00",
="0057","富邦摩台","20,000","3","941,200","47.06","47.06","47.06","47.06","+","0.06","46.32","20","46.75","20","0.00",
="0058","富邦發達","22,000","6","933,000","42.39","42.60","42.39","42.60","+","0.33","41.00","5","44.00","5","0.00",
="0059","富邦金融","0","0","0","--","--","--","--"," ","0.00","42.00","5","43.50","5","0.00",
="0061","元大寶滬深","932,000","244","13,979,600","15.01","15.14","14.95","14.95","-","0.07","14.95","38","15.00","10","0.00",
="006203","元大MSCI台灣","0","0","0","--","--","--","--"," ","0.00","35.26","20","35.51","20","0.00",
="006204","永豐臺灣加權","3,000","3","147,690","49.20","49.30","49.19","49.19","-","0.36","49.03","20","49.19","49","0.00",
="006205","富邦上証","2,721,663","470","71,458,116","26.20","26.33","26.17","26.17","-","0.16","26.17","14","26.18","42","0.00",
="006206","元大上證50","583,026","165","15,899,657","27.25","27.37","27.13","27.19","-","0.11","27.18","2","27.19","39","0.00",
="006207","FH滬深","373,000","96","7,089,470","19.01","19.10","18.98","19.00","-","0.15","18.99","3","19.00","127","0.00",
="006208","富邦台50","57,861","25","2,484,193","42.89","43.05","42.83","42.84","-","0.06","42.83","2","43.11","1","0.00",
="00625K","富邦上証+R","50,000","2","297,000","5.94","5.94","5.94","5.94"," ","0.00","5.87","10","5.93","1","0.00",
="00631L","元大台灣50正2","2,206,047","650","72,413,452","32.87","33.03","32.55","32.55","-","0.09","32.51","2","32.55","73","0.00",
="00632R","元大台灣50反1","68,410,975","6,975","895,137,151","13.08","13.13","13.04","13.13","+","0.01","13.13","5,172","13.14","1,938","0.00",
="00633L","富邦上証正2","26,508,216","5,277","843,553,301","31.79","32.10","31.60","31.71","-","0.19","31.70","161","31.71","30","0.00",
="00634R","富邦上証反1","853,000","91","6,788,650","7.95","7.98","7.94","7.98","+","0.04","7.97","90","7.98","17","0.00",
="00635U","元大S&P黃金","183,000","72","3,355,360","18.35","18.36","18.33","18.34","+","0.01","18.34","1","18.35","11","0.00",
="00636","國泰中國A50","4,047,000","887","70,255,840","17.30","17.42","17.27","17.32","-","0.07","17.31","25","17.32","17","0.00",
="00636K","國泰中國A50+U","200","2","1,129","5.65","5.65","5.64","5.64","-","0.06","5.60","12","5.63","12","0.00",
="00637L","元大滬深300正2","159,151,357","12,647","1,920,813,022","12.08","12.18","11.98","12.04","-","0.03","12.03","869","12.04","1,442","0.00",
="00638R","元大滬深300反1","109,000","33","1,747,220","16.07","16.08","15.96","16.08","+","0.09","16.08","2","16.09","21","0.00",
="00639","富邦深100","2,592,090","322","20,870,980","8.07","8.08","8.02","8.04","-","0.09","8.03","65","8.04","327","0.00",
="00640L","富邦日本正2","409,000","63","8,781,730","21.40","21.55","21.36","21.49","+","0.14","21.47","13","21.50","100","0.00",
="00641R","富邦日本反1","428,000","64","6,359,850","14.86","14.89","14.83","14.86","-","0.06","14.84","8","14.86","106","0.00",
="00642U","元大S&P石油","3,062,020","905","51,035,996","16.63","16.73","16.61","16.65","+","0.08","16.64","221","16.65","83","0.00",
="00643","群益深証中小","1,030,323","253","10,543,916","10.23","10.29","10.20","10.20","-","0.18","10.20","81","10.21","148","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","2.29","10","2.30","10","0.00",
="00645","富邦日本","66,133","12","1,416,571","21.38","21.47","21.38","21.47","+","0.09","21.39","33","21.45","60","0.00",
="00646","元大S&P500","427,000","67","10,867,090","25.43","25.47","25.43","25.47","+","0.04","25.45","1","25.47","50","0.00",
="00647L","元大S&P500正2","31,000","27","960,680","31.08","31.23","30.86","31.22","+","0.28","30.96","1","31.00","1","0.00",
="00648R","元大S&P500反1","515,000","53","6,903,420","13.41","13.42","13.39","13.42","+","0.01","13.40","5","13.42","40","0.00",
="00649","FH香港","85,000","18","1,700,890","19.94","20.05","19.94","19.98","-","0.02","19.90","32","19.98","80","0.00",
="00650L","FH香港正2","206,000","38","5,723,130","27.53","28.00","27.48","27.72"," ","0.00","27.64","1","27.72","29","0.00",
="00651R","FH香港反1","1,198,000","164","10,764,510","8.88","9.01","8.88","9.00","+","0.08","9.00","8","9.02","10","0.00",
="00652","富邦印度","65,460","38","1,496,646","22.60","22.90","22.60","22.85","+","0.29","22.85","4","22.86","3","0.00",
="00653L","富邦印度正2","200,000","89","5,697,340","28.39","28.55","28.39","28.43","+","0.31","28.43","1","28.49","24","0.00",
="00654R","富邦印度反1","58,000","23","842,800","14.52","14.57","14.51","14.57","-","0.04","14.55","1","14.57","34","0.00",
="00655L","國泰中國A50正2","14,224,100","2,835","327,002,809","22.95","23.19","22.83","22.90","-","0.11","22.89","17","22.90","583","0.00",
="00656R","國泰中國A50反1","27,000","10","396,820","14.69","14.71","14.62","14.71","+","0.08","14.68","101","14.71","76","0.00",
="00657","國泰日經225","100,000","7","2,748,470","27.42","27.51","27.42","27.49","+","0.13","27.43","10","27.47","30","0.00",
="00657K","國泰日經225+U","100","1","895","8.95","8.95","8.95","8.95","+","0.04","8.89","5","8.94","10","0.00",
="00658L","國泰日本正2","194,000","32","6,860,390","35.25","35.50","35.19","35.36","+","0.10","35.30","10","35.36","50","0.00",
="00659R","國泰日本反1","71,000","7","883,700","12.46","12.46","12.42","12.42","-","0.04","12.42","43","12.44","70","0.00",
="00660","元大歐洲50","0","0","0","--","--","--","--"," ","0.00","22.75","30","22.89","25","0.00",
="00661","元大日經225","2,000","2","56,220","28.11","28.11","28.11","28.11","X","0.00","28.11","2","28.26","50","0.00",
="00662","富邦NASDAQ","149,210","11","4,332,753","28.97","29.04","28.97","29.04","-","0.06","29.04","4","29.05","1","0.00",
="00663L","國泰臺灣加權正2","178,000","35","5,382,890","30.27","30.43","29.97","29.97","-","0.13","29.95","1","29.97","147","0.00",
="00664R","國泰臺灣加權反1","1,256,000","237","18,597,280","14.78","14.86","14.75","14.86","+","0.03","14.86","740","14.87","3","0.00",
="00665L","富邦恒生國企正2","241,000","123","6,385,500","26.20","26.73","26.20","26.32","-","0.01","26.32","99","26.38","50","0.00",
="00666R","富邦恒生國企反1","374,000","35","5,251,960","14.04","14.10","13.99","14.08","+","0.04","14.07","50","14.08","22","0.00",
="00667","元大韓國","51,000","6","1,047,930","20.52","20.60","20.52","20.60","-","0.09","20.46","2","20.58","5","0.00",
="00668","國泰美國道瓊","41,000","11","1,116,930","27.23","27.25","27.23","27.24","+","0.02","27.24","6","27.25","3","0.00",
="00668K","國泰美國道瓊+U","100","1","889","8.89","8.89","8.89","8.89","-","0.02","8.83","10","8.90","5","0.00",
="00669R","國泰美國道瓊反1","622,000","121","8,274,990","13.31","13.33","13.29","13.33"," ","0.00","13.32","1","13.33","291","0.00",
="00670L","富邦NASDAQ正2","449,000","77","13,412,190","29.80","29.93","29.77","29.89","+","0.09","29.83","50","29.89","23","0.00",
="00671R","富邦NASDAQ反1","347,000","81","4,985,880","14.39","14.40","14.35","14.38","-","0.02","14.37","1","14.38","40","0.00",
="00672L","元大S&P原油正2","20,209,000","3,653","299,578,120","14.70","14.96","14.70","14.81","+","0.33","14.80","300","14.81","506","0.00",
="00673R","元大S&P原油反1","1,527,000","288","26,821,230","17.64","17.64","17.48","17.60","-","0.28","17.59","556","17.60","37","0.00",
="00674R","元大S&P黃金反1","0","0","0","--","--","--","--"," ","0.00","20.49","3","20.52","50","0.00",
="00675L","富邦臺灣加權正2","795,191","87","10,412,230","13.11","13.18","12.95","12.95","-","0.07","12.95","309","12.98","200","0.00",
="00676R","富邦臺灣加權反1","2,265,300","167","18,156,017","8.02","8.04","8.00","8.04","+","0.01","8.04","251","8.05","259","0.00",
="00677U","富邦VIX","28,740,348","2,368","196,321,958","6.85","6.86","6.80","6.84","+","0.01","6.84","1,141","6.85","1,688","0.00",
="00678","群益NBI生技","469,152","36","10,323,077","21.92","22.04","21.90","22.04","+","0.19","21.92","56","21.93","2","0.00",
="00680L","元大美債20正2","1,000","1","17,360","17.36","17.36","17.36","17.36","+","0.04","17.34","25","17.36","1","0.00",
="00681R","元大美債20反1","1,000","1","19,770","19.77","19.77","19.77","19.77","X","0.00","19.64","25","19.75","8","0.00",
="00682U","元大美元指數","25,000","11","478,170","19.11","19.13","19.11","19.13","+","0.04","19.12","1","19.18","5","0.00",
="00683L","元大美元指數正2","149,000","40","2,785,030","18.70","18.71","18.66","18.70","+","0.05","18.70","29","18.72","7","0.00",
="00684R","元大美元指數反1","0","0","0","--","--","--","--"," ","0.00","19.61","5","19.70","5","0.00",
="00685L","群益臺灣加權正2","60,000","10","690,420","11.50","11.55","11.48","11.50","-","0.02","11.37","20","11.41","51","0.00",
="00686R","群益臺灣加權反1","60,000","13","524,820","8.75","8.77","8.73","8.75","-","0.02","8.79","800","8.80","801","0.00",
="00688L","國泰20年美債正2","202,000","4","3,561,290","17.64","17.65","17.63","17.65"," ","0.00","17.56","15","17.65","102","0.00",
="00689R","國泰20年美債反1","208,000","5","4,196,860","20.10","20.18","20.10","20.18","+","0.06","20.11","50","20.18","2","0.00",
="00690","兆豐藍籌30","325,488","71","6,522,174","20.00","20.05","19.96","19.96","-","0.02","19.95","8","19.97","49","0.00",
="00691R","兆豐藍籌30反1","0","0","0","--","--","--","--"," ","0.00","17.43","30","17.46","40","0.00",
="00692","富邦公司治理","1,548,743","711","30,903,809","20.04","20.04","19.91","19.92","-","0.10","19.92","28","19.98","5","0.00",
="00693U","華頓S&P黃豆","1,349,000","136","22,228,440","16.49","16.51","16.45","16.49","-","0.02","16.48","14","16.49","66","0.00",
="00700","富邦恒生國企","107,242","8","2,140,209","19.83","19.96","19.83","19.93","-","0.02","19.82","50","19.89","5","0.00",
="00701","國泰臺灣低波動30","227,020","61","4,865,124","21.33","21.49","21.33","21.39","+","0.06","21.38","9","21.39","93","0.00",
="00702","國泰標普低波高息","7,000","4","145,720","20.81","20.82","20.81","20.82","-","0.01","20.78","101","20.81","102","0.00",
="00703","台新MSCI中國","738,000","77","14,040,080","18.96","19.10","18.90","19.04","-","0.02","19.04","28","19.05","2","0.00",
="00706L","元大S&P日圓正2","2,000","2","35,120","17.56","17.56","17.56","17.56","-","0.06","17.50","1","17.55","1","0.00",
="00707R","元大S&P日圓反1","0","0","0","--","--","--","--"," ","0.00","20.57","10","20.66","8","0.00",
="00708L","元大S&P黃金正2","317,000","70","5,073,740","16.01","16.02","15.99","16.00","-","0.04","16.00","102","16.02","115","0.00",
="00709","富邦歐洲","104,000","6","1,978,040","18.98","19.04","18.98","19.01","+","0.07","18.99","59","19.01","3","0.00",
="00710B","FH彭博高收益債","0","0","0","--","--","--","--"," ","0.00","20.03","20","20.12","20","0.00",
="00711B","FH彭博新興債","19,000","19","353,650","18.64","18.64","18.61","18.61","X","0.00","18.61","21","18.80","2","0.00",
="00712","FH富時不動產","76,000","28","1,412,000","18.59","18.63","18.55","18.60","+","0.01","18.56","11","18.60","19","0.00",
="00713","元大台灣高息低波","12,000","11","339,720","28.30","28.36","28.30","28.30","+","0.08","28.30","4","28.35","20","0.00",
="00714","群益道瓊美國地產","103,000","5","2,046,320","19.72","19.87","19.72","19.87","+","0.07","19.71","43","19.75","10","0.00",
="00715L","華頓S&P布蘭特正2","31,000","23","589,290","18.98","19.07","18.91","18.95","+","0.34","18.93","1","19.04","4","0.00",
="00716R","華頓S&P布蘭特反1","17,000","8","310,130","18.30","18.30","18.08","18.18","-","0.10","18.18","20","18.32","13","0.00",
="00717","富邦美國特別股","354,667","140","6,728,794","18.94","19.00","18.94","18.98","-","0.07","18.98","22","19.00","36","0.00",
="00728","第一金工業30","600,000","14","10,908,000","18.17","18.19","18.17","18.19","+","0.02","18.08","15","18.14","13","0.00",
="00729R","第一金工業30反1","605,000","15","12,314,070","20.36","20.44","20.34","20.44","+","0.05","20.44","38","20.48","26","0.00",
="00730","富邦臺灣優質高息","123,007","20","2,168,372","17.50","17.64","17.50","17.51","+","0.03","17.51","97","17.55","101","0.00",
="00731","FH富時高息低波","0","0","0","--","--","--","--"," ","0.00","49.19","10","49.57","10","0.00",
="00732","國泰RMB短期報酬","1,000","1","38,680","38.68","38.68","38.68","38.68"," ","0.00","38.48","20","38.68","1","0.00",
="00733","富邦臺灣中小","223,000","14","3,463,230","15.48","15.60","15.48","15.54","+","0.09","15.49","1","15.55","5","0.00",
="00735","國泰臺韓科技","211,000","9","3,700,610","17.59","17.61","17.46","17.47","-","0.18","17.44","5","17.46","25","0.00",
="00736","國泰新興市場","208,000","10","3,885,540","18.76","18.76","18.65","18.68","+","0.01","18.61","20","18.70","29","0.00",
="00737","國泰AI+Robo","317,200","131","6,138,480","19.22","19.38","19.22","19.36","+","0.11","19.35","82","19.36","8","0.00",
="00738U","元大道瓊白銀","12,000","8","204,620","17.60","17.60","16.97","17.03"," ","0.00","17.00","129","17.03","14","0.00",
="00739","元大MSCI A股","783,000","219","13,340,710","17.05","17.10","16.98","17.01","-","0.09","17.01","16","17.02","25","0.00",
="00742","新光內需收益","100,000","2","1,974,000","19.74","19.74","19.74","19.74","+","0.10","19.73","50","19.78","50","0.00",
="00743","國泰中國A150","553,900","106","9,578,885","17.36","17.36","17.19","17.19","-","0.22","17.18","33","17.19","8","0.00",
="00752","中信中國50","798,000","225","17,296,460","21.73","21.82","21.51","21.82","-","0.03","21.82","31","21.88","50","0.00",
="00753L","中信中國50正2","938,000","182","21,766,190","23.09","23.39","22.95","23.35","+","0.18","23.35","8","23.38","1","0.00",
="008201","BP上證50","500","4","44,425","88.60","89.35","88.60","89.35","+","0.45","89.10","2","91.10","10","0.00",
="01001T","土銀富邦R1","24,000","8","345,010","14.36","14.40","14.36","14.40","+","0.02","14.38","1","14.40","8","0.00",
="01002T","土銀國泰R1","49,000","30","717,100","14.60","14.72","14.60","14.72","+","0.12","14.65","1","14.72","5","0.00",
="01003T","兆豐新光R1","0","0","0","--","--","--","--"," ","0.00","14.89","1","15.08","5","0.00",
="01004T","土銀富邦R2","3,000","3","38,010","12.65","12.70","12.65","12.70","+","0.04","12.63","1","12.70","3","0.00",
="01007T","兆豐國泰R2","1,000","1","14,990","14.99","14.99","14.99","14.99","X","0.00","14.85","1","15.00","1","0.00",
="01009T","王道圓滿R1","5,000","4","42,360","8.47","8.49","8.45","8.45","-","0.05","8.43","1","8.49","5","0.00",
"1101","台泥","19,459,222","4,899","671,138,398","34.30","34.75","34.20","34.50","+","0.45","34.50","203","34.55","202","9.48",
"1102","亞泥","17,412,537","5,293","583,454,750","32.95","33.70","32.85","33.70","+","1.05","33.60","1","33.70","299","10.31",
"1103","嘉泥","966,676","362","13,621,579","14.05","14.20","14.00","14.10","-","0.10","14.10","4","14.15","13","4.98",
"1104","環泥","357,603","191","6,823,425","19.20","19.25","18.95","18.95","-","0.30","18.95","12","19.25","7","10.83",
"1108","幸福","144,000","24","1,065,090","7.43","7.44","7.31","7.40","-","0.02","7.40","38","7.42","2","0.00",
"1109","信大","100,406","51","1,476,356","14.70","14.90","14.55","14.90","+","0.15","14.85","200","14.90","1","7.03",
"1110","東泥","118,000","23","1,647,950","14.00","14.05","13.90","13.90","-","0.15","13.90","4","14.00","13","55.60",
"1201","味全","818,788","333","17,692,308","21.40","21.80","21.40","21.80","+","0.35","21.75","3","21.80","45","6.90",
"1203","味王","50,205","23","1,274,584","25.45","25.50","25.35","25.35"," ","0.00","25.35","3","25.50","4","14.01",
"1210","大成","623,000","396","20,237,139","32.25","32.70","32.15","32.35","+","0.10","32.30","44","32.35","13","10.47",
"1213","大飲","9,000","8","94,400","10.45","10.50","10.45","10.50","+","0.05","10.45","16","10.55","3","0.00",
"1215","卜蜂","302,353","258","13,640,565","45.20","45.35","44.85","44.85","-","0.15","44.85","32","44.90","3","11.74",
"1216","統一","16,370,011","4,250","1,184,885,086","72.80","72.90","72.20","72.20"," ","0.00","72.20","318","72.50","133","10.31",
"1217","愛之味","650,491","226","4,588,757","7.03","7.09","7.01","7.07","+","0.04","7.07","326","7.08","5","17.68",
"1218","泰山","1,533,410","452","25,833,482","16.70","16.95","16.70","16.90","+","0.20","16.85","31","16.90","34","18.57",
"1219","福壽","18,731","16","340,708","18.35","18.35","18.10","18.10","-","0.25","18.10","3","18.30","4","106.47",
"1220","台榮","65,900","47","762,349","11.65","11.65","11.55","11.55","-","0.10","11.50","22","11.55","6","24.06",
"1225","福懋油","0","0","0","--","--","--","--"," ","0.00","75.70","3","75.90","6","93.70",
"1227","佳格","1,162,397","513","56,876,555","49.50","49.50","48.80","48.85","-","0.30","48.85","24","49.05","67","15.61",
"1229","聯華","1,050,252","752","31,981,879","30.65","30.65","30.35","30.45","+","0.05","30.45","27","30.50","7","12.28",
"1231","聯華食","49,249","62","1,759,228","35.75","35.80","35.70","35.70","-","0.05","35.70","10","35.75","3","11.90",
"1232","大統益","23,107","25","2,278,887","98.50","99.00","98.50","98.50","-","0.40","98.30","1","99.00","6","18.87",
"1233","天仁","22,267","21","853,551","38.40","38.50","38.00","38.40","-","0.10","38.30","5","38.50","2","19.01",
"1234","黑松","23,102","18","672,707","29.50","29.50","29.00","29.00","-","0.20","28.90","8","29.20","10","17.47",
"1235","興泰","14,001","15","390,327","27.95","28.00","27.75","27.75"," ","0.00","27.65","6","27.90","1","10.32",
"1236","宏亞","12,060","8","165,002","13.70","13.70","13.60","13.60","-","0.10","13.55","6","13.75","1","0.00",
"1256","鮮活果汁-KY","46,274","46","6,568,182","140.00","142.50","140.00","142.50","+","3.00","142.00","5","143.00","4","10.65",
"1262","綠悅-KY","843,200","624","31,133,139","37.45","37.65","36.60","36.65","-","0.50","36.65","14","36.80","15","0.00",
"1301","台塑","9,971,188","3,703","998,913,600","100.50","101.00","99.50","100.00","+","0.50","100.00","247","100.50","479","10.59",
"1303","南亞","10,385,594","3,074","773,463,195","74.60","75.20","74.30","74.30"," ","0.00","74.30","13","74.40","5","8.88",
